id,username,created_at,lng,lat,text
1516968988038901761,Lickety2split,Thu Apr 21 02:36:05 +0000 2022,-84.285151,39.862183,@itsAzimi I’m excited https://t.co/OA5IRYaeTl
1516968988558905351,MariaSalazar5A,Thu Apr 21 02:36:05 +0000 2022,-95.422541,29.1560965,RIP DwayneHaskins #Steelers #SteelersNation #pittsburgh #pittsburghsteelers #DWAYNEHASKINS
1516968988743512064,Thalassatx,Thu Apr 21 02:36:05 +0000 2022,-97.1342085,32.844933,"🌎 Apr 20, 2022 🌍🔥 17 | Avg. Guesses: 11.58⬜⬜🟨🟨⬜🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟩 = 28#globle"
1516968987623497729,StarkHaiden,Thu Apr 21 02:36:05 +0000 2022,-111.617291,33.370115,Double to center @jarenbrown_ @WowFactorNation @BUncommitted @UConnBSB @PrepSoutheast @RafaelMelchione @JailenNPID https://t.co/H0JYwx0OcS
1516968989913583617,TylerHeline,Thu Apr 21 02:36:05 +0000 2022,-122.3306025,47.614817,Holy shit. Get Francouz off the ice Bednar! Tonight is not his night and we are still trying to win a president’s trophy here.
1516968990718976001,Swarlossss,Thu Apr 21 02:36:05 +0000 2022,-96.835249,33.1501395,@AlanAvi_ Bro let’s gooooooo!
1516968991536865282,gi330i,Thu Apr 21 02:36:06 +0000 2022,-117.273201,33.1198196,Drinking a Clear the Mind by @Burgeonbeer/@KarlStraussBeer at @burgeonbeer — https://t.co/Vlr5DdTGll
1516968992006627331,StillSincere_,Thu Apr 21 02:36:06 +0000 2022,-95.91364200000001,36.1093915,Niggas got years of pent up frustrations. They getting they shit off like when Bron missed the playoff in 19’
1516968993558614016,eppersports,Thu Apr 21 02:36:06 +0000 2022,-92.342322,34.721886,#UPDATE: LRPD says Jeremy Bass was arrested on 1st degree murder charges related to Wednesday’s homicide on Alicia… https://t.co/KKCDgmMgqY
1516968993889959941,MirandaCleland,Thu Apr 21 02:36:06 +0000 2022,-77.0143985,38.898602999999994,So you're telling me the Capitol Police evacuated everyone at the US Capitol because our own military was parachuti… https://t.co/Te8B6udlYB
1516968994712047617,SERENITY_LOVE80,Thu Apr 21 02:36:06 +0000 2022,-82.44269399999999,27.9965945,🤦🏽‍♀️🤪 DOH!! Okay BOYS!! SHAKE it OFF!! LET’S GET GOING!! #GoAvsGo
1516968994669940737,KEMENTARl,Thu Apr 21 02:36:06 +0000 2022,-117.851089,33.842863,Vatican music video confirmed dope also @madelynmunsell is the coolest alive
1516968994640740354,iamdaqueon_,Thu Apr 21 02:36:06 +0000 2022,-80.8467855,35.209058999999996,"I’m sitting at home hungry waiting for Troy while he’s at dinner with coworkers. Like hello, I’m hungry leave them!!!"
1516968995089440770,BanditTravis,Thu Apr 21 02:36:07 +0000 2022,-91.903835,44.8817265,@LynnRotenberry @CowboysAnd1 Yuppers! Where I be!
1516968995609587712,orangebk,Thu Apr 21 02:36:07 +0000 2022,-97.057882,33.087951000000004,@RobertW_OkSt Or maybe this no-call? https://t.co/Sp8mnxPxSD
1516968996142292992,verdetrades,Thu Apr 21 02:36:07 +0000 2022,-80.1491725,26.150368,@mamba24stocks a defined risk area to $19.50 where I wouldn't want to hold thru if selling pressure was strong at t… https://t.co/bg4y0uLWGu
1516968996859437056,bballkansas,Thu Apr 21 02:36:07 +0000 2022,-94.77457749999999,38.954341,I dunno if Obama's kicked to curb but Rogan big winner overall. Netflix is the one looking weak. Weird media times.
1516968997459222533,featherbeds,Thu Apr 21 02:36:07 +0000 2022,-84.047553,39.727936,@GeeLeeCee Paid into social security for 57 years. Don't ever let anyone take away the insurance you paid for.
1516969001515159553,CarryPotter97,Thu Apr 21 02:36:08 +0000 2022,-75.117998,40.0048655,This game should’ve been over
1516969001728937984,dotmvsic,Thu Apr 21 02:36:08 +0000 2022,-118.4119065,34.0207895,"for my non-web3 fam, this hits stores and streaming platforms on friday so hang tight!! still free to listen on catalog tho ;)"
1516969001942978560,mikeag96,Thu Apr 21 02:36:08 +0000 2022,-100.0768885,31.1688935,@TheJimCornette this is great
1516969002052034562,JafSupO,Thu Apr 21 02:36:08 +0000 2022,-77.085747,35.120205,Stephen Miller: The Democratic Party will be in tatters if this happens https://t.co/hJvx5pbI52 Basic economic co… https://t.co/wJy87fzmdN
1516969002479890433,Lavar_Bald,Thu Apr 21 02:36:08 +0000 2022,-100.0768885,31.1688935,Pause
1516969002395856896,Jeanndallen,Thu Apr 21 02:36:08 +0000 2022,-155.9852495,19.6645795,Sunsets 🌺 https://t.co/ho1B2yA5LX
1516969003079528448,scottyda78,Thu Apr 21 02:36:08 +0000 2022,-122.958344,49.2396535,Is this real
1516969003071066114,tabamatu,Thu Apr 21 02:36:08 +0000 2022,-117.104989,32.810012,This has me thinking that we should make clear which of our beers are brewed at Double-Barrelled on the keg badges… https://t.co/FWpRQEShPv
1516969003339730945,tkdylan,Thu Apr 21 02:36:08 +0000 2022,-73.9487755,40.655138,@Mitchel13290681 @RMillennielle Thanks man!
1516969004417654786,UHpkp110,Thu Apr 21 02:36:09 +0000 2022,-100.0768885,31.1688935,@JennyyHTX Definitely did. Momma would even throw in banana slices in it.
1516969005604560896,TawzeeNotToezee,Thu Apr 21 02:36:09 +0000 2022,-76.2958955,36.7632155,Good for him 👏🏻
1516969005864603650,therealmahoner,Thu Apr 21 02:36:09 +0000 2022,-79.936926,43.629552000000004,Someone please wake up Siakam and Van Vleet. Season is on the line
1516969005365538818,ReedTweadon,Thu Apr 21 02:36:09 +0000 2022,-87.732013,41.8335845,@KimDotcom @wikileaks Fools https://t.co/mueoAhCvRu
1516969006321786880,amber_fishburn,Thu Apr 21 02:36:09 +0000 2022,-97.617175,38.8270215,"@ghostfacekells If you think about it he is doing so much work. He is producing, writing scripts, &amp; movies so chang… https://t.co/bVNXvdJdgM"
1516969006196039687,btsbdavid,Thu Apr 21 02:36:09 +0000 2022,-96.053431,41.275721000000004,@vchmelka @yourNETA Stop and say hi!
1516969007034761217,skyyphx,Thu Apr 21 02:36:09 +0000 2022,-111.931711,34.1682535,@TylerChaseXXX Mmmm get that ass pissed on 💦😈
1516969006615252994,keepitstellar,Thu Apr 21 02:36:09 +0000 2022,-79.3872,43.648,It's a BIG PILL to swallow but it's the absolute facts bredda. She was a good lil church girl 4 you but a COMPLETE… https://t.co/pC5C1OYays
1516969007231881216,theronarchy,Thu Apr 21 02:36:09 +0000 2022,-118.4119065,34.0207895,"I purchased a copy of Elden Ring about a week ago. It's the first FromSoftware game I've purchased... and honestly,… https://t.co/wOVuaYgzej"
